address,Batch,Number of PPs
0x374DcD0B1b574eb5C5988209ef3c742F71f0aA0d,1,1
0xFe0577f8c6851DfC0e80fE821E809DAd4a9Af3F3,1,2
0x9086181c1EE49cab7853c72eD639cC7DF4391206,1,1
0x200b0E0b2030c4F9fba3312C3C7505b9050aaFD6,1,1
0x7EDF2a96c8F1a502977bB2626789437A66162269,1,1
0x7EDF2a96c8F1a502977bB2626789437A66162269,2,1
0x6E6B3fdD05265eAd4a8718D11c506464Ed440c37,1,1
0x79E327F6901713842F82072bcc6EB7bF24e13Bcc,1,1
0x0ea63AB33e62235c576bE86249Da212a6aC90F29,1,1
0x50C48A100ABAF063A2402cEDb6846352A43E151F,1,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,1,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,2,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,3,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,4,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,5,1
0x7749876413881F2AbF4a196A01bF5C0E49958BAE,6,2
0xcD10B32A0c41d25d83E84AddaFaAd88E4410C528,1,1
0xcD10B32A0c41d25d83E84AddaFaAd88E4410C528,2,1
0xcD10B32A0c41d25d83E84AddaFaAd88E4410C528,4,2
0xb61141e38b2f5DCaf15e82c628400F07d1bb2FCD,1,1
0x13D1df7cBCa9B818F7ccf1E5c73A6cc5DAa04142,1,1
0xd87EcC6C74F486B044824a222326A96F696fCfA2,1,25
0x0F45156F109e474295913D78036FA213b1745D5A,1,7
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,1,1
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,2,1
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,3,1
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,4,1
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,5,1
0xb2Cd50531bDAA4dD53c7451d697666483a402fB3,6,1
0xC2f39bFCDee4C4c33359edBa8fB3C4cfa044E8fB,1,1
0xC2f39bFCDee4C4c33359edBa8fB3C4cfa044E8fB,2,1
0xb8B01693909ce747EC5fc66a0A04A88ac77C0ADa,1,1
0x73C857d26161c7B11bC1442b304919fCBc5002A7,1,1
0x68b2dEB1564F60f9c8224848293A39c49dF721E1,1,4
0x68b2dEB1564F60f9c8224848293A39c49dF721E1,2,1
0x68b2dEB1564F60f9c8224848293A39c49dF721E1,3,1
0x68b2dEB1564F60f9c8224848293A39c49dF721E1,4,1
0x25A2689E00F3aD439e629B3aa92395D5cd1402E5,2,2
0x4Ea6415289Cf688f8A19381e1a9Af213d2510454,2,1
0x6872Dd4B1B1BBB2B61869c22735E13C515ED34Bd,2,2
0x2d56F14F7623fa1Ab587e06a630E82dAa1425631,2,4
0x8b74C4aA9d92672982940e67C8015e587f3EA0B5,2,1
0x2c4Cd67F2d6349B4641A5278aFfD4CC13b50e12A,2,3
0xE53D3f2B99FE0Ed6C05977bC0547127836f0D78d,2,1
0x64B641Ac303CF288dfe13d5Be7E26B9Fc49a830A,2,2
0x86F5e4C103D72A7239BA17d691Af23716F2D5C92,2,1
0x4F08D188C774D6d32335b7B2be272AF0057f6FE4,2,1
0xaCBfD0B900f0d3928784E010bEe424cf11D0418F,2,1
0x6CCd500694d477F4ed988186eBAEea5B8BD7a94A,2,1
0xe12c849046d447e60E6Fb47bacA6Dc8561D3Cbf7,2,1
0xBAE6379ACaEe0FD0d5922CABa1895292533B6FB9,2,1
0xBAE6379ACaEe0FD0d5922CABa1895292533B6FB9,4,1
0xD59586b52f6F8c90C04c2B9718bE7b2ac7D6Cc61,2,1
0xB96007Fd8E0ee360d404f01566f412e535469F15,2,1
0xfa7c11e9e2D4fCd0f4646515a17289f5892a40B7,2,1
0xE59af27400686420d82D8b2ca698D6C5873f78A4,2,1
0xd3Be0fB7a3E8B5F6196E9f33843ce4B1d5deb4E4,2,1
